t	a
150.8	22.6747
150.9	22.9843
151	23.7847
151.1	20.4480
151.2	21.4918
151.3	24.7862
151.4	23.1454
151.5	25.9069
151.6	25.8627
151.7	22.1610
151.8	23.0672
151.9	24.8842
152	20.5639
152.1	24.2200
152.2	22.2807
152.3	27.6268
152.4	24.7386
152.5	23.8984
152.6	27.0726
152.7	26.4824
152.8	26.3473
152.9	27.0693
153	24.2965
153.1	26.9531
153.2	24.8199
153.3	28.0398
153.4	27.8555
153.5	28.7180
153.6	25.1808
153.7	30.8571
153.8	27.0894
153.9	26.9711
154	27.8313
154.1	29.2308
154.2	29.6742
154.3	29.3820
154.4	31.5348
154.5	26.7491
154.6	28.4934
154.7	27.8476
154.8	27.6793
154.9	26.1945
155	29.9686
155.1	30.4911
155.2	31.5915
155.3	31.5170
155.4	30.7877
155.5	33.2109
155.6	32.7195
155.7	32.0752
155.8	31.0990
155.9	29.4476
156	31.3176
156.1	28.7407
156.2	28.5131
156.3	37.8554
156.4	33.1791
156.5	34.6017
156.6	35.0615
156.7	32.2108
156.8	34.0077
156.9	33.3019
157	31.8665
157.1	30.0846
157.2	35.8386
157.3	30.2046
157.4	34.7517
157.5	34.2463
157.6	35.4257
157.7	34.3266
157.8	33.0345
157.9	34.7932
158	35.2047
158.1	30.7420
158.2	32.2868
158.3	39.3177
158.4	35.9793
158.5	36.1790
158.6	32.6565
158.7	36.2314
158.8	35.7556
158.9	35.5806
159	36.8801
159.1	36.4509
159.2	35.8668
159.3	32.8295
159.4	37.5900
159.5	33.4355
159.6	37.2415
159.7	36.3937
159.8	35.4715
159.9	35.7974
160	37.1969
160.1	38.2714
160.2	36.5720
160.3	38.0184
160.4	35.8165
160.5	37.2592
160.6	33.5968
160.7	37.6189
160.8	33.7449
160.9	37.6703
161	39.9062
161.1	33.7313
161.2	36.0250
161.3	36.5815
161.4	34.8361
161.5	34.8881
161.6	37.0512
161.7	36.3547
161.8	34.9205
161.9	36.0298
162	36.5128
162.1	33.7626
162.2	37.0194
162.3	35.6228
162.4	34.4709
162.5	38.2180
162.6	34.7332
162.7	34.1820
162.8	39.3175
162.9	36.0122
163	36.6003
163.1	38.5703
163.2	34.0902
163.3	38.3339
163.4	37.4298
163.5	36.0866
163.6	37.1598
163.7	34.0659
163.8	33.1821
163.9	33.5094
164	34.6942
164.1	34.4166
164.2	32.2718
164.3	37.7292
164.4	34.4871
164.5	32.6910
164.6	37.0351
164.7	35.9076
164.8	33.1863
164.9	33.8687
165	36.2708
165.1	34.1714
165.2	35.6083
165.3	34.8064
165.4	36.0310
165.5	30.3387
165.6	36.6633
165.7	29.8935
165.8	35.2460
165.9	34.8788
166	38.7379
166.1	36.8668
166.2	33.1772
166.3	32.0062
166.4	28.8759
166.5	34.7111
166.6	33.7118
166.7	33.5122
166.8	31.8847
166.9	34.3934
167	32.9144
167.1	33.6113
167.2	32.9169
167.3	33.1059
167.4	27.8473
167.5	31.6282
167.6	31.6941
167.7	29.0957
167.8	32.3586
167.9	30.3117
168	32.6765
168.1	28.8769
168.2	30.7447
168.3	31.5750
168.4	33.7855
168.5	32.3480
168.6	34.8732
168.7	30.9037
168.8	27.3632
168.9	31.9261
169	31.8866
169.1	28.2275
169.2	26.6564
169.3	28.1047
169.4	27.2970
169.5	27.7427
169.6	29.2122
169.7	29.4545
169.8	27.8195
169.9	29.9845
170	28.3214
170.1	28.6806
170.2	27.1151
170.3	26.5927
170.4	28.3136
170.5	25.0166
170.6	24.7551
170.7	27.3478
170.8	22.1831
170.9	24.8781
171	23.0961
171.1	28.2110
171.2	23.4130
171.3	26.5126
171.4	24.8002
171.5	24.1750
171.6	22.6839
171.7	21.0031
171.8	21.9673
171.9	21.6907
172	20.8803
172.1	24.5807
172.2	20.4371
172.3	21.0334
172.4	21.1663
172.5	23.0540
172.6	21.6339
172.7	21.3261
172.8	19.0519
172.9	24.8546
173	22.0643
173.1	18.6707
173.2	18.9255
173.3	16.9521
173.4	21.1646
173.5	16.8971
173.6	21.3851
173.7	18.3462
173.8	17.1958
173.9	16.1233
174	17.1756
174.1	17.4440
174.2	15.4794
174.3	14.3954
174.4	12.7955
174.5	21.2508
174.6	15.0101
174.7	13.9496
174.8	18.4939
174.9	15.8804
175	15.4491
175.1	11.2000
175.2	13.0575
175.3	14.2925
175.4	7.4503
175.5	12.2331
175.6	16.6348
175.7	13.6784
175.8	13.0292
175.9	10.7535
176	11.8952
176.1	8.9350
176.2	12.9362
176.3	8.1512
176.4	7.3728
176.5	11.7691
176.6	12.1269
176.7	15.9117
176.8	7.9454
176.9	12.6702
177	9.0057
177.1	11.3928
177.2	9.8770
177.3	6.6176
177.4	7.4700
177.5	9.0676
177.6	8.1753
177.7	5.4431
177.8	8.4746
177.9	4.5881
178	9.3261
178.1	5.7747
178.2	5.1199
178.3	4.8305
178.4	5.7819
178.5	5.1671
178.6	3.5385
178.7	3.8317
178.8	5.9412
178.9	2.6839
179	4.2863
179.1	-0.4469
179.2	1.6105
179.3	4.1325
179.4	0.9754
179.5	-1.7249
179.6	2.8085
179.7	3.3574
179.8	-0.4871
179.9	-2.6578
180	1.9419
180.1	1.1362
180.2	-0.4397
180.3	-2.6649
180.4	0.8571
180.5	-5.6234
180.6	-4.9852
180.7	0.3685
180.8	-3.4606
180.9	-0.8859
181	-6.0956
181.1	-4.4870
181.2	-4.2839
181.3	-5.4510
181.4	-4.1089
181.5	-1.2899
181.6	-5.0568
181.7	-2.8095
181.8	-9.8699
181.9	-4.6588
182	-5.9183
182.1	-5.5854
182.2	-8.5315
182.3	-5.8745
182.4	-6.3665
182.5	-7.2736
182.6	-9.5865
182.7	-8.7711
182.8	-8.2034
182.9	-9.2855
183	-8.3207
183.1	-8.0797
183.2	-10.1280
183.3	-13.1186
183.4	-13.2273
183.5	-13.1983
183.6	-11.4537
183.7	-12.7327
183.8	-13.1918
183.9	-12.4691
184	-10.1638
184.1	-13.5839
184.2	-11.5783
184.3	-11.6793
184.4	-10.4642
184.5	-11.5680
184.6	-13.9176
184.7	-10.7865
184.8	-13.8011
184.9	-13.3330
185	-18.1055
185.1	-14.4071
185.2	-16.4154
185.3	-14.9785
185.4	-16.7448
185.5	-19.7010
185.6	-16.4972
185.7	-13.8280
185.8	-16.2534
185.9	-17.7359
186	-19.9262
186.1	-20.4805
186.2	-15.9669
186.3	-18.2946
186.4	-17.1945
186.5	-19.3138
186.6	-16.9961
186.7	-17.0273
186.8	-18.5524
186.9	-18.2063
187	-20.1616
187.1	-25.1507
187.2	-16.3674
187.3	-20.9638
187.4	-22.1407
187.5	-20.6645
187.6	-22.2751
187.7	-21.5594
187.8	-20.9024
187.9	-20.4771
188	-20.5861
188.1	-21.2237
188.2	-20.3825
188.3	-21.6931
188.4	-23.9811
188.5	-22.2953
188.6	-23.1652
188.7	-19.1094
188.8	-26.4647
188.9	-24.3924
189	-22.8570
189.1	-23.6040
189.2	-22.7415
189.3	-24.8322
189.4	-26.8826
189.5	-27.4682
189.6	-24.5126
189.7	-27.1342
189.8	-27.1349
189.9	-26.1900
190	-27.0617
190.1	-28.9188
190.2	-25.0784
190.3	-23.2211
190.4	-27.8730
190.5	-26.4874
190.6	-23.6750
190.7	-30.4361
190.8	-29.1508
190.9	-29.9429
191	-28.0551
191.1	-29.4331
191.2	-26.7317
191.3	-25.9025
191.4	-25.8714
191.5	-30.4741
191.6	-30.8771
191.7	-27.1309
191.8	-27.8282
191.9	-34.8346
192	-31.9531
192.1	-29.3221
192.2	-29.2637
192.3	-30.5937
192.4	-30.7743
192.5	-30.6918
192.6	-33.3423
192.7	-27.7693
192.8	-30.8318
192.9	-32.2190
193	-31.4374
193.1	-28.8361
193.2	-31.8848
193.3	-31.1157
193.4	-28.1771
193.5	-30.1227
193.6	-33.6486
193.7	-28.1432
193.8	-31.1583
193.9	-32.3252
194	-34.4954
194.1	-33.5423
194.2	-33.0401
194.3	-30.7714
194.4	-34.6963
194.5	-31.5466
194.6	-34.6401
194.7	-33.0118
194.8	-34.3425
194.9	-36.2856
195	-32.4907
195.1	-31.5703
195.2	-32.3735
195.3	-36.0120
195.4	-33.9101
195.5	-32.6217
195.6	-36.0802
195.7	-33.7848
195.8	-32.6505
195.9	-37.4847
196	-35.4541
196.1	-33.0262
196.2	-29.4278
196.3	-31.6970
196.4	-31.9584
196.5	-33.1847
196.6	-39.0826
196.7	-34.2893
196.8	-36.4011
196.9	-32.4229
197	-35.9269
197.1	-36.0984
197.2	-32.7686
197.3	-35.0366
197.4	-33.5281
197.5	-31.5237
197.6	-33.8079
197.7	-33.2989
197.8	-33.0832
197.9	-34.3866
198	-37.2477
198.1	-35.3530
198.2	-34.3804
198.3	-36.4540
198.4	-33.8457
198.5	-33.1174
198.6	-32.7240
198.7	-33.4774
198.8	-32.3533
198.9	-31.5974
199	-33.0596
199.1	-34.2618
199.2	-35.7284
199.3	-30.6807
199.4	-35.0083
199.5	-32.3342
199.6	-32.7504
199.7	-32.4493
199.8	-31.3353
199.9	-37.8601
200	-31.6359
200.1	-29.8697
200.2	-32.8788
200.3	-32.1458
200.4	-37.8561
200.5	-31.7102
200.6	-30.8604
200.7	-31.4503
200.8	-28.9901
200.9	-35.0512
201	-29.7175
201.1	-35.9833
201.2	-31.8576
201.3	-31.4537
201.4	-31.9215
201.5	-31.9207
201.6	-32.7827
201.7	-33.5572
201.8	-30.3692
201.9	-33.6568
202	-30.1182
202.1	-33.0529
202.2	-32.4365
202.3	-30.9910
202.4	-30.5561
202.5	-27.8036
202.6	-31.7112
202.7	-29.0352
202.8	-32.5341
202.9	-31.7673
203	-30.9107
203.1	-29.3732
203.2	-26.2876
203.3	-31.3327
203.4	-30.1379
203.5	-30.4943
203.6	-31.1865
203.7	-30.7460
203.8	-27.7999
203.9	-32.7367
204	-28.5946
204.1	-30.1966
204.2	-26.7185
204.3	-28.4643
204.4	-25.2503
204.5	-30.2113
204.6	-27.2692
204.7	-25.5164
204.8	-27.9567
204.9	-29.2083
205	-25.4712
205.1	-29.4542
205.2	-26.9963
205.3	-25.7830
205.4	-23.3693
205.5	-30.6911
205.6	-25.7004
205.7	-27.5466
205.8	-22.7356
205.9	-24.8699
206	-26.0446
206.1	-28.1650
206.2	-25.4312
206.3	-22.6823
206.4	-23.6624
206.5	-27.8633
206.6	-24.1218
206.7	-23.3593
206.8	-23.2305
206.9	-20.2023
207	-21.6676
207.1	-22.7494
207.2	-20.2996
207.3	-23.9427
207.4	-25.2004
207.5	-21.3213
207.6	-22.7302
207.7	-23.6437
207.8	-21.9008
207.9	-20.3997
208	-17.2090
208.1	-15.6440
208.2	-18.6490
208.3	-23.4749
208.4	-19.7008
208.5	-17.9298
208.6	-20.0393
208.7	-16.0823
208.8	-16.9768
208.9	-19.6342
209	-19.6305
209.1	-15.9644
209.2	-15.5854
209.3	-17.5253
209.4	-18.0872
209.5	-16.3138
209.6	-18.6697
209.7	-18.1747
209.8	-19.0623
209.9	-12.3638
210	-19.8641
210.1	-16.7029
210.2	-15.0217
210.3	-18.6897
210.4	-16.0212
210.5	-12.0887
210.6	-15.8043
210.7	-12.3487
210.8	-15.2613
210.9	-14.2728
211	-16.9101
211.1	-12.2598
211.2	-13.8809
211.3	-12.4924
211.4	-11.5858
211.5	-12.9313
211.6	-13.6632
211.7	-15.2466
211.8	-13.3660
211.9	-7.4874
212	-14.0263
212.1	-11.8452
212.2	-9.1157
212.3	-8.4648
212.4	-10.6625
212.5	-9.5087
212.6	-12.3871
212.7	-5.2907
212.8	-8.6898
212.9	-7.9227
213	-8.8862
213.1	-6.0613
213.2	-8.1316
213.3	-6.0058
213.4	-6.7617
213.5	-4.4877
213.6	-10.3149
213.7	-6.5382
213.8	-8.4945
213.9	-4.0580
214	-7.4680
214.1	-8.0288
214.2	-5.2726
214.3	-3.6702
214.4	0.0998
214.5	-4.7610
214.6	-4.9572
214.7	-0.0610
214.8	-0.9827
214.9	-4.3764
215	-3.7767
215.1	1.3847
215.2	-0.9121
215.3	-2.6736
215.4	-4.7167
215.5	0.5810
215.6	-0.0639
215.7	-0.4882
215.8	1.2924
215.9	-2.1358
216	1.8610
216.1	1.0496
216.2	3.2030
216.3	0.6508
216.4	1.2433
216.5	3.7219
216.6	0.2793
216.7	-1.8397
216.8	4.9589
216.9	3.8730
217	1.6375
217.1	2.7668
217.2	5.3876
217.3	2.8967
217.4	7.4705
217.5	3.7372
217.6	4.0936
217.7	3.8805
217.8	6.8254
217.9	7.1555
218	5.8651
218.1	5.7931
218.2	6.1062
218.3	9.5701
218.4	5.7429
218.5	7.8516
218.6	6.0608
218.7	8.7414
218.8	4.5461
218.9	7.7776
219	11.2401
219.1	5.9603
219.2	8.0676
219.3	8.9170
219.4	9.6046
219.5	10.4414
219.6	7.0025
219.7	8.2167
219.8	8.6480
219.9	14.1761
220	12.5926
220.1	12.2535
220.2	13.5055
220.3	8.9617
220.4	12.9111
220.5	11.9914
220.6	14.4041
220.7	12.6226
220.8	10.5084
220.9	15.2879
221	16.9931
221.1	17.2215
221.2	13.9308
221.3	14.1185
221.4	12.8063
221.5	13.9372
221.6	15.4113
221.7	18.4391
221.8	18.3014
221.9	14.7305
222	17.2063
222.1	21.3249
222.2	14.1438
222.3	16.1727
222.4	16.8495
222.5	21.1353
222.6	16.5146
222.7	18.7458
222.8	19.0580
222.9	21.0034
223	19.6206
223.1	19.9547
223.2	19.1458
223.3	16.0986
223.4	20.0806
223.5	19.8763
223.6	19.1870
223.7	18.2382
223.8	18.4320
223.9	23.7766
224	19.5302
224.1	24.1311
224.2	17.8171
224.3	22.8178
224.4	19.4345
224.5	20.4130
224.6	19.4551
224.7	24.8990
224.8	17.5313
224.9	22.5086
225	24.0016
225.1	22.0267
225.2	25.5303
225.3	24.7003
225.4	24.7820
225.5	24.1949
225.6	21.8473
225.7	19.8311
225.8	28.4488
225.9	25.6587
226	24.2405
226.1	22.8690
226.2	27.1547
226.3	25.4568
226.4	26.5651
226.5	22.7888
226.6	21.2139
226.7	27.7738
226.8	27.2240
226.9	25.4855
227	27.7543
227.1	23.5838
227.2	27.5995
227.3	21.6921
227.4	27.3824
227.5	25.1453
227.6	24.7896
227.7	29.2592
227.8	24.9164
227.9	29.8111
228	25.9597
228.1	26.9326
228.2	28.7355
228.3	29.7467
228.4	32.7070
228.5	27.8414
228.6	29.9673
228.7	23.9237
228.8	29.3680
228.9	26.3232
229	29.2520
229.1	28.4190
229.2	30.8852
229.3	27.7163
229.4	27.3518
229.5	28.0336
229.6	28.0585
229.7	30.6174
229.8	27.5415
229.9	29.3049
230	28.7188
230.1	30.5373
230.2	30.1685
230.3	27.6959
230.4	29.6849
230.5	28.1399
230.6	27.1945
230.7	29.4074
230.8	29.1004
230.9	32.3226
231	32.3982
231.1	28.0257
231.2	34.5842
231.3	33.8926
231.4	30.6352
231.5	29.2209
231.6	31.9986
231.7	31.0437
231.8	31.1292
231.9	31.7485
232	30.4527
232.1	32.1149
232.2	28.4416
232.3	30.9376
232.4	32.6286
232.5	29.2927
232.6	33.5482
232.7	31.7650
232.8	29.4271
232.9	30.9680
233	31.8178
233.1	33.0073
233.2	35.1732
233.3	32.6766
233.4	31.4607
233.5	30.0312
233.6	32.9268
233.7	29.5601
233.8	34.1268
233.9	34.3215
234	30.5796
234.1	32.0419
234.2	33.2384
234.3	30.4408
234.4	33.4064
234.5	34.2546
234.6	28.1640
234.7	28.3280
234.8	27.2143
234.9	30.0802
235	34.7149
235.1	30.4298
235.2	28.5257
235.3	32.8001
235.4	31.9755
235.5	30.3216
235.6	28.7208
235.7	29.7693
235.8	30.7356
235.9	31.4146
236	28.8903
236.1	30.8823
236.2	29.5061
236.3	37.9819
236.4	29.3427
236.5	29.9373
236.6	27.5172
236.7	27.3597
236.8	27.2248
236.9	31.6360
237	31.6108
237.1	28.9053
237.2	28.4013
237.3	32.1030
237.4	28.8175
237.5	28.9116
237.6	27.3037
237.7	28.0066
237.8	27.5045
237.9	27.9811
238	29.3484
238.1	28.1296
238.2	24.2060
238.3	30.5065
238.4	32.2787
238.5	26.7833
238.6	29.5558
238.7	26.8822
238.8	30.1302
238.9	28.3920
239	31.3120
239.1	27.2744
239.2	27.3940
239.3	25.7303
239.4	26.4930
239.5	28.0763
239.6	27.5311
239.7	29.1850
239.8	26.0472
239.9	26.5432
240	24.6195
240.1	26.7533
240.2	26.1924
240.3	27.7343
240.4	30.3016
240.5	27.3507
240.6	25.0489
240.7	28.3766
240.8	28.2987
240.9	24.9981
241	23.8603
241.1	25.6874
241.2	29.0714
241.3	22.9313
241.4	22.1309
241.5	20.1111
241.6	23.8462
241.7	26.5097
241.8	27.0921
241.9	25.1355
242	21.4464
242.1	22.6454
242.2	22.3844
242.3	24.0333
242.4	21.9933
242.5	22.3291
242.6	21.1295
242.7	19.0215
242.8	23.9210
242.9	24.4851
243	17.3468
243.1	20.1321
243.2	24.1094
243.3	18.2193
243.4	18.6635
243.5	21.5504
243.6	22.3142
243.7	22.5129
243.8	20.4361
243.9	23.3961
244	18.3544
244.1	19.5090
244.2	20.2236
244.3	18.0989
244.4	20.3286
244.5	16.1410
244.6	18.4717
244.7	20.1155
244.8	19.6925
244.9	16.6840
245	17.7628
245.1	12.6182
245.2	21.9412
245.3	16.2701
245.4	17.7464
245.5	15.2824
245.6	16.1866
245.7	17.0072
245.8	14.0662
245.9	15.2763
246	16.8360
246.1	15.0381
246.2	12.7464
246.3	18.2849
246.4	13.9381
246.5	17.2614
246.6	13.5481
246.7	14.7689
246.8	11.4842
246.9	12.5998
247	12.9189
247.1	13.5654
247.2	12.5615
247.3	12.3002
247.4	11.9587
247.5	16.0095
247.6	10.3081
247.7	12.8901
247.8	13.4660
247.9	10.1836
248	9.2885
248.1	8.1636
248.2	8.7381
248.3	11.9407
248.4	11.2852
248.5	7.1622
248.6	7.4201
248.7	12.6035
248.8	12.3661
248.9	6.0603
249	6.9326
249.1	7.3772
249.2	9.0208
249.3	5.0736
249.4	5.9876
249.5	6.0949
249.6	2.6373
249.7	4.2697
249.8	4.4705
249.9	5.4931
250	4.6048
250.1	3.4575
250.2	7.2714
250.3	6.1935
250.4	2.8857
250.5	5.8026
250.6	1.1213
250.7	2.2867
250.8	6.6259
250.9	0.3940
251	0.9929
251.1	5.6966
251.2	-0.7504
251.3	1.8918
251.4	2.4981
251.5	0.7101
251.6	-2.1993
251.7	0.8239
251.8	1.4433
251.9	-1.2045
252	-0.6884
252.1	-1.9445
252.2	1.8649
252.3	-2.3936
252.4	-0.2789
252.5	-0.9226
252.6	-2.5688
252.7	-1.4683
252.8	-2.7607
252.9	0.0651
253	-4.1826
253.1	-0.4497
253.2	-6.9774
253.3	-6.2187
253.4	-4.9286
253.5	-1.8307
253.6	-1.6623
253.7	-1.9075
253.8	-2.2250
253.9	-3.6666
254	-4.1122
254.1	-4.6581
254.2	-6.3543
254.3	-8.6081
254.4	-3.7728
254.5	-8.5727
254.6	-6.9528
254.7	-6.4467
254.8	-4.7879
254.9	-6.5182
255	-7.2804
255.1	-7.8770
255.2	-8.0612
255.3	-7.3079
255.4	-10.7553
255.5	-9.8750
255.6	-10.4636
255.7	-7.9823
255.8	-10.1718
255.9	-12.3579
256	-12.1706
256.1	-13.0397
256.2	-10.6609
256.3	-7.8898
256.4	-11.2636
256.5	-11.1079
256.6	-10.8019
256.7	-9.2260
256.8	-9.6413
256.9	-14.0557
257	-15.2867
257.1	-12.1748
257.2	-16.1389
257.3	-13.2213
257.4	-15.9788
257.5	-13.8297
257.6	-13.0515
257.7	-15.2526
257.8	-14.5779
257.9	-15.7734
258	-14.6890
258.1	-20.4165
258.2	-12.9783
258.3	-14.2096
258.4	-17.1910
258.5	-14.9709
258.6	-14.6421
258.7	-17.4107
258.8	-16.9190
258.9	-18.6142
259	-16.3511
259.1	-14.3509
259.2	-19.6802
259.3	-12.3034
259.4	-20.1372
259.5	-20.8629
259.6	-22.5901
259.7	-16.6505
259.8	-20.1491
259.9	-19.6709
260	-19.0910
260.1	-17.4237
260.2	-20.9952
260.3	-16.8970
260.4	-21.1811
260.5	-16.4119
260.6	-20.3303
260.7	-20.9754
260.8	-21.0610
260.9	-19.7091
261	-22.1653
261.1	-23.6395
261.2	-20.9889
261.3	-15.4253
261.4	-19.5753
261.5	-19.1727
261.6	-23.6971
261.7	-23.5266
261.8	-19.9980
261.9	-21.1835
262	-23.9067
262.1	-22.0223
262.2	-25.4987
262.3	-21.6609
262.4	-24.3028
262.5	-21.8449
262.6	-23.2335
262.7	-25.2286
262.8	-27.2873
262.9	-20.9545
263	-26.5784
263.1	-24.8475
263.2	-21.9447
263.3	-25.6321
263.4	-23.9058
263.5	-25.7493
263.6	-28.8022
263.7	-20.8241
263.8	-26.6270
263.9	-22.8434
264	-27.6941
264.1	-25.3254
264.2	-25.7916
264.3	-29.4232
264.4	-25.2933
264.5	-26.8475
264.6	-22.4318
264.7	-27.3946
264.8	-27.4951
264.9	-28.5914
265	-27.4109
265.1	-27.4441
265.2	-27.9374
265.3	-26.2111
265.4	-28.1938
265.5	-28.0705
265.6	-27.2163
265.7	-30.2744
265.8	-33.7048
265.9	-26.0177
266	-27.9973
266.1	-28.1878
266.2	-25.7663
266.3	-27.6182
266.4	-27.7899
266.5	-28.2038
266.6	-29.8107
266.7	-30.2351
266.8	-30.0182
266.9	-27.8636
267	-27.4124
267.1	-31.1594
267.2	-26.7098
267.3	-26.6383
267.4	-31.2049
267.5	-28.4814
267.6	-27.1023
267.7	-28.7578
267.8	-32.2985
267.9	-33.0971
268	-29.6919
268.1	-31.9132
268.2	-29.1089
268.3	-29.4174
268.4	-31.6204
268.5	-29.8233
268.6	-30.3599
268.7	-25.2155
268.8	-32.0036
268.9	-26.6522
269	-28.5852
269.1	-26.9896
269.2	-32.0279
269.3	-30.1888
269.4	-25.0509
269.5	-28.9744
269.6	-26.9851
269.7	-28.8084
269.8	-32.2221
269.9	-28.6561
270	-28.4133
270.1	-28.8900
270.2	-27.9122
270.3	-26.6507
270.4	-27.7190
270.5	-26.7712
270.6	-28.9664
270.7	-30.9835
270.8	-29.4363
270.9	-29.7503
271	-28.4880
271.1	-28.6335
271.2	-27.9349
271.3	-30.3531
271.4	-30.7982
271.5	-31.3403
271.6	-27.5496
271.7	-25.4092
271.8	-29.4173
271.9	-29.0988
272	-28.0199
272.1	-31.6348
272.2	-28.0197
272.3	-27.5256
272.4	-30.2491
272.5	-27.2638
272.6	-28.6287
272.7	-27.6103
272.8	-24.9161
272.9	-27.8199
273	-25.6102
273.1	-31.8375
273.2	-28.8215
273.3	-25.4645
273.4	-25.7789
273.5	-27.9268
273.6	-31.0484
273.7	-27.5226
273.8	-24.9336
273.9	-25.2083
274	-23.8747
274.1	-31.7799
274.2	-25.1839
274.3	-24.7522
274.4	-28.5345
274.5	-27.7885
274.6	-32.0137
274.7	-30.1784
274.8	-23.7797
274.9	-29.8855
275	-22.9921
275.1	-25.8117
275.2	-24.7971
275.3	-27.3243
275.4	-20.5377
275.5	-25.1519
275.6	-25.8930
275.7	-23.9670
275.8	-25.3999
275.9	-28.7243
276	-28.0442
276.1	-25.6557
276.2	-21.7042
276.3	-22.7709
276.4	-23.0910
276.5	-24.0790
276.6	-26.8959
276.7	-21.0942
276.8	-23.5823
276.9	-25.9084
277	-27.7998
277.1	-23.5417
277.2	-22.9363
277.3	-22.6449
277.4	-19.0387
277.5	-22.1145
277.6	-20.9552
277.7	-22.7775
277.8	-23.3845
277.9	-22.3376
278	-23.5911
278.1	-24.6651
278.2	-26.7867
278.3	-18.4406
278.4	-19.7996
278.5	-26.9575
278.6	-21.0970
278.7	-20.4006
278.8	-21.4951
278.9	-18.4884
279	-18.6673
279.1	-19.9700
279.2	-18.8852
279.3	-19.9213
279.4	-20.9723
279.5	-17.4611
279.6	-21.7749
279.7	-14.3824
279.8	-20.7683
279.9	-18.6103
280	-18.6245
280.1	-14.0195
280.2	-21.1058
280.3	-18.2301
280.4	-20.8493
280.5	-15.6410
280.6	-15.4371
280.7	-15.6256
280.8	-16.4238
280.9	-15.7998
281	-15.1147
281.1	-14.9896
281.2	-17.7817
281.3	-17.1179
281.4	-14.2942
281.5	-13.1618
281.6	-15.6083
281.7	-16.3329
281.8	-17.0353
281.9	-16.9742
282	-14.3907
282.1	-15.4226
282.2	-13.0337
282.3	-12.3474
282.4	-11.5212
282.5	-15.1544
282.6	-12.8784
282.7	-13.9594
282.8	-13.1839
282.9	-9.4848
283	-12.4963
283.1	-10.8723
283.2	-13.2100
283.3	-10.1590
283.4	-12.8268
283.5	-8.3004
283.6	-12.0198
283.7	-10.2685
283.8	-8.4624
283.9	-9.7685
284	-7.0632
284.1	-8.6066
284.2	-7.0697
284.3	-7.5387
284.4	-9.2727
284.5	-7.1993
284.6	-7.8226
284.7	-7.8808
284.8	-9.2649
284.9	-9.7456
285	-7.8805
285.1	-9.7348
285.2	-5.5582
285.3	-5.4727
285.4	-8.3908
285.5	-6.4515
285.6	-5.0483
285.7	-8.5482
285.8	-5.0295
285.9	-4.6108
286	-4.7191
286.1	-4.9822
286.2	-2.0789
286.3	-3.1249
286.4	-0.8994
286.5	-3.2752
286.6	-1.4950
286.7	-4.1962
286.8	-8.2376
286.9	-1.4876
287	-1.2796
287.1	-4.8970
287.2	-3.4164
287.3	-3.7920
287.4	-4.9945
287.5	-1.6058
287.6	1.8991
287.7	-0.3911
287.8	1.1047
287.9	-1.3709
288	0.3266
288.1	0.4769
288.2	2.8376
288.3	3.8285
288.4	1.7037
288.5	5.5014
288.6	-0.5149
288.7	4.7341
288.8	5.1632
288.9	4.2354
289	1.6955
289.1	4.3953
289.2	5.9984
289.3	-1.7239
289.4	4.5665
289.5	5.6777
289.6	4.4351
289.7	3.2852
289.8	2.2161
289.9	3.7271
290	3.3607
290.1	1.9093
290.2	7.4791
290.3	6.0863
290.4	7.2047
290.5	6.4065
290.6	3.0172
290.7	5.1025
290.8	8.9039
290.9	2.8595
291	6.1091
291.1	4.9412
291.2	4.8902
291.3	9.9156
291.4	6.2008
291.5	7.4659
291.6	8.9453
291.7	10.0629
291.8	10.7418
291.9	6.4291
292	12.4355
292.1	11.2988
292.2	7.7299
292.3	9.0872
292.4	10.0810
292.5	11.4923
292.6	9.6027
292.7	14.8132
292.8	9.0903
292.9	9.8138
293	10.8911
293.1	12.0118
293.2	12.9465
293.3	16.1103
293.4	13.9957
293.5	9.7425
293.6	14.6174
293.7	12.8019
293.8	16.9803
293.9	13.9538
294	12.2516
294.1	11.9265
294.2	14.8522
294.3	13.9762
294.4	13.5042
294.5	17.2929
294.6	16.3448
294.7	14.2984
294.8	16.5572
294.9	12.8649
295	15.7950
295.1	16.9058
295.2	17.3226
295.3	17.7503
295.4	13.1874
295.5	14.8394
295.6	15.3607
295.7	14.7443
295.8	17.7417
295.9	18.2629
296	18.4834
296.1	21.1408
296.2	16.3294
296.3	20.7744
296.4	16.3438
296.5	16.8841
296.6	19.8814
296.7	19.1941
296.8	16.2771
296.9	18.4212
297	16.2296
297.1	21.4668
297.2	20.1259
297.3	20.0940
297.4	20.0294
297.5	19.5906
297.6	20.5771
297.7	18.7265
297.8	25.2317
297.9	18.5648
298	21.8455
298.1	19.4403
298.2	22.1685
298.3	21.8832
298.4	21.0687
298.5	24.2271
298.6	21.6719
298.7	22.4122
298.8	22.8674
298.9	22.9328
299	20.7173
299.1	23.4831
299.2	23.2961
299.3	22.0816
299.4	23.7365
299.5	22.8109
299.6	20.6999
299.7	23.4000
299.8	24.4633
299.9	21.6726
300	22.0304
300.1	24.3771
300.2	24.5690
300.3	22.3853
300.4	22.8467
300.5	23.0710
300.6	21.6935
300.7	24.9223
300.8	23.9223
300.9	25.9854
301	26.0657
301.1	26.6600
301.2	25.8641
301.3	20.5808
301.4	26.8177
301.5	22.4891
